inventory_id,expendtiture_category,date_of_disbursement,cost
CON000048,Listing,1/11/2022,1.28
CON000048,Boosting,1/11/2022,4.04
CON000060,Listing,1/11/2022,1.28
CON000059,Listing,1/11/2022,1.28
CON000041,Boosting,1/11/2022,5.11
CON000025,Listing,1/11/2022,1.28
CON000025,Boosting,1/11/2022,4.04
CON000035,Listing,1/11/2022,5.32
CON000060,Boosting,1/11/2022,4.04
CON000025,Boosting,1/16/2022,4.04
CON000059,Boosting,1/16/2022,1.83
CON000059,Boosting,1/16/2022,0.64
CON000059,Boosting,1/16/2022,0.64
CON000059,Boosting,1/18/2022,4.04
CON000025,Boosting,1/18/2022,4.04
CON000060,Boosting,1/18/2022,4.04
CON000040,Boosting,1/18/2022,4.04
CON000035,Boosting,1/18/2022,4.04
CON000025,Boosting,1/18/2022,4.04
CON000040,Boosting,1/18/2022,4.04
CON000059,Boosting,1/18/2022,4.04
CON000059,Boosting,1/18/2022,4.04
CON000025,Boosting,1/18/2022,4.04
CON000033,Boosting,1/11/2022,1.48
CON000033,Boosting,1/11/2022,1.48
CON000031,Boosting,1/11/2022,1.62
CON000060,Boosting,1/11/2022,1.62
CON000025,Boosting,1/11/2022,1.62
CON000035,Boosting,1/11/2022,1.62
CON000059,Boosting,1/11/2022,1.62
CON000029,Boosting,1/16/2022,1.62
CON000059,Boosting,1/18/2022,0.09
CON000059,Boosting,1/18/2022,1.54
CON000035,Boosting,1/18/2022,1.62
CON000025,Boosting,1/18/2022,1.62
CON000060,Boosting,1/18/2022,1.62
CON000031,Boosting,1/18/2022,1.62
CON000033,Boosting,1/18/2022,1.62
CON000041,Boosting,1/18/2022,1.62
CON000059,Boosting,1/18/2022,1.62
CON000029,Boosting,1/18/2022,1.62
CON000025,Others,1/16/2022,21.28
CON000029,Listing,1/19/2022,1.28
CON000029,Boosting,1/19/2022,4.04
CON000025,Boosting,1/20/2022,6.38
CON000056,Boosting,1/24/2022,17.60
CON000040,Boosting,1/24/2022,1.62
CON000025,Boosting,2/8/2022,4.04
CON000029,Boosting,2/8/2022,4.04
CON000059,Boosting,2/8/2022,4.04
CON000048,Boosting,2/8/2022,4.04
CON000041,Boosting,2/8/2022,4.04
CON000048,Boosting,2/8/2022,4.04
CON000059,Boosting,1/25/2022,1.62
CON000035,Boosting,1/25/2022,1.62
CON000025,Boosting,1/25/2022,1.62
CON000048,Boosting,1/25/2022,1.62
CON000029,Boosting,1/25/2022,1.62
CON000041,Boosting,1/25/2022,1.62
CON000031,Boosting,1/25/2022,1.62
CON000033,Boosting,1/25/2022,1.62
CON000060,Boosting,1/25/2022,1.62
CON000040,Boosting,1/31/2022,1.62
CON000059,Boosting,2/1/2022,1.62
CON000035,Boosting,2/1/2022,1.62
CON000025,Boosting,2/1/2022,1.62
CON000048,Boosting,2/1/2022,1.62
CON000060,Boosting,2/8/2022,1.62
CON000056,Boosting,2/8/2022,16.08
CON000029,Boosting,2/8/2022,1.62
CON000041,Boosting,2/8/2022,1.62
CON000025,Boosting,2/8/2022,1.62
CON000025,Boosting,2/8/2022,1.62
CON000059,Boosting,2/8/2022,1.62
CON000040,Boosting,2/8/2022,1.62
CON000060,Boosting,2/8/2022,1.62
CON000033,Boosting,2/8/2022,1.62
CON000031,Boosting,2/8/2022,1.62
CON000063,Boosting,2/8/2022,1.62
CON000062,Boosting,2/8/2022,1.62
CON000061,Boosting,2/8/2022,1.62
CON000048,Boosting,2/8/2022,1.62
CON000061,Boosting,2/15/2022,1.62
CON000060,Others,2/10/2022,4.26
CON000059,Others,2/10/2022,4.26
CON000056,Others,2/10/2022,4.26
CON000063,Others,2/10/2022,4.26
CON000061,Others,2/10/2022,4.26
CON000061,Boosting,2/15/2022,1.62
CON000048,Boosting,2/25/2022,4.04
CON000041,Boosting,2/25/2022,4.04
CON000059,Boosting,2/25/2022,4.04
CON000063,Listing,2/25/2022,1.28
CON000063,Boosting,2/25/2022,4.04
CON000061,Listing,2/25/2022,1.28
CON000061,Boosting,2/25/2022,4.04
CON000067,Listing,2/25/2022,1.28
CON000067,Boosting,2/25/2022,4.04
CON000062,Listing,2/25/2022,1.28
CON000062,Boosting,2/25/2022,4.04
CON000056,Boosting,2/28/2022,4.04
CON000048,Boosting,3/8/2022,4.04
CON000060,Boosting,3/8/2022,4.04
CON000060,Cleaning service,3/7/2022,12.34
CON000067,Cleaning service,3/7/2022,11.49
CON000041,Boosting,2/18/2022,1.62
CON000025,Boosting,2/18/2022,1.62
CON000056,Boosting,2/18/2022,12.43
CON000048,Boosting,2/21/2022,1.62
CON000062,Boosting,2/21/2022,1.62
CON000063,Boosting,2/21/2022,1.62
CON000033,Boosting,2/21/2022,1.62
CON000031,Boosting,2/21/2022,1.62
CON000056,Boosting,2/21/2022,25.14
CON000059,Boosting,2/21/2022,1.62
CON000035,Boosting,2/21/2022,25.14
CON000061,Boosting,2/22/2022,1.62
CON000025,Boosting,2/25/2022,1.62
CON000056,Boosting,2/25/2022,17.60
CON000048,Boosting,2/28/2022,1.62
CON000063,Boosting,2/28/2022,1.62
CON000062,Boosting,2/28/2022,1.62
CON000033,Boosting,2/28/2022,1.62
CON000031,Boosting,2/28/2022,1.62
CON000059,Boosting,2/28/2022,1.62
CON000041,Boosting,2/28/2022,1.62
CON000061,Boosting,3/1/2022,0.81
CON000025,Boosting,3/4/2022,1.62
CON000048,Boosting,3/7/2022,1.62
CON000062,Boosting,3/7/2022,1.62
CON000063,Boosting,3/7/2022,1.62
CON000031,Boosting,3/7/2022,1.62
CON000033,Boosting,3/7/2022,1.62
CON000059,Boosting,3/7/2022,1.62
CON000061,Boosting,3/8/2022,0.81
CON000060,Boosting,3/17/2022,0.75
CON000060,Boosting,3/17/2022,6.55
CON000056,Boosting,3/17/2022,25.14
CON000035,Boosting,3/17/2022,2.32
CON000025,Boosting,3/17/2022,2.32
CON000041,Boosting,3/17/2022,2.32
CON000025,Boosting,3/17/2022,2.32
CON000048,Boosting,3/17/2022,2.32
CON000062,Boosting,3/17/2022,2.32
CON000033,Boosting,3/17/2022,2.32
CON000033,Boosting,3/17/2022,2.32
CON000059,Boosting,3/17/2022,2.32
CON000061,Boosting,3/17/2022,2.32
CON000048,Boosting,3/17/2022,16.44
CON000060,Boosting,3/17/2022,2.32
CON000059,Boosting,3/17/2022,2.32
CON000061,Boosting,3/21/2022,0.23
CON000059,Boosting,3/21/2022,0.23
CON000059,Boosting,3/21/2022,0.23
CON000062,Boosting,3/21/2022,0.23
CON000063,Boosting,3/21/2022,0.23
CON000048,Boosting,3/21/2022,0.23
CON000056,Boosting,3/26/2022,2.09
CON000035,Boosting,3/26/2022,0.23
CON000048,Boosting,3/26/2022,0.23
CON000025,Boosting,3/26/2022,0.23
CON000063,Boosting,3/27/2022,0.23
CON000062,Boosting,3/27/2022,0.23
CON000059,Boosting,3/27/2022,0.23
CON000060,Boosting,3/27/2022,25.14
CON000035,Boosting,3/27/2022,2.32
CON000025,Boosting,3/27/2022,2.32
CON000048,Boosting,3/27/2022,2.32
CON000063,Boosting,3/27/2022,2.32
CON000062,Boosting,3/27/2022,2.32
CON000033,Boosting,3/27/2022,2.32
CON000031,Boosting,3/27/2022,2.32
CON000059,Boosting,3/27/2022,2.32
CON000025,Others,5/6/2022,14.85
CON000063,Boosting,5/13/2022,1.83
CON000060,Boosting,5/13/2022,4.04
CON000041,Boosting,5/13/2022,4.04
CON000087,Boosting,5/13/2022,4.04
CON000070,Boosting,5/13/2022,4.04
CON000035,Boosting,5/20/2022,2.32
CON000031,Boosting,5/20/2022,2.32
CON000059,Boosting,5/20/2022,2.32
CON000060,Boosting,5/16/2022,0.64
CON000087,Boosting,5/17/2022,4.04
CON000059,Boosting,5/17/2022,5.11
CON000041,Boosting,5/17/2022,4.04
CON000035,Boosting,5/17/2022,4.04
CON000060,Boosting,5/17/2022,4.04
CON000072,Listing,5/26/2022,1.28
CON000067,Listing,5/26/2022,1.28
CON000033,Boosting,5/23/2022,2.32
CON000041,Boosting,5/23/2022,2.32
CON000060,Boosting,5/23/2022,2.32
CON000056,Boosting,5/23/2022,2.32
CON000072,Listing,5/26/2022,1.16
CON000067,Listing,5/26/2022,0.38
CON000067,Boosting,5/26/2022,0.78
CON000070,Boosting,5/27/2022,2.32
CON000072,Listing,5/26/2022,1.28
CON000067,Listing,5/26/2022,1.28
CON000070,Listing,5/30/2022,1.28
CON000033,Listing,6/1/2022,1.28
CON000056,Boosting,6/2/2022,4.04
CON000035,Boosting,6/2/2022,4.04
CON000067,Boosting,6/2/2022,4.04
CON000070,Boosting,6/6/2022,2.32
CON000070,Boosting,6/6/2022,2.32
CON000067,Boosting,6/6/2022,2.32
CON000056,Boosting,6/6/2022,2.32
CON000060,Boosting,6/6/2022,2.32
CON000041,Boosting,6/6/2022,2.32
CON000033,Boosting,6/6/2022,2.32
CON000063,Boosting,6/6/2022,2.32
CON000016,Others,6/16/2022,212.77
CON000016,Others,6/16/2022,6.38
CON000067,Boosting,6/17/2022,4.04
CON000035,Boosting,6/17/2022,4.04
CON000060,Boosting,6/17/2022,4.04
CON000035,Boosting,6/13/2022,2.32
CON000031,Boosting,6/13/2022,2.32
CON000059,Boosting,6/13/2022,2.32
CON000060,Boosting,6/13/2022,2.32
CON000016,Listing,6/13/2022,1.16
CON000035,Boosting,6/16/2022,0.23
CON000031,Boosting,6/16/2022,0.23
CON000033,Boosting,6/16/2022,0.23
CON000033,Boosting,6/16/2022,2.32
CON000063,Boosting,6/16/2022,2.32
CON000041,Boosting,6/16/2022,2.32
CON000060,Boosting,6/16/2022,2.32
CON000056,Boosting,6/16/2022,2.32
CON000067,Boosting,6/16/2022,1.16
CON000070,Boosting,6/16/2022,2.32
